,AAPL,CGC,AMD,EWZ,MCD,XLF,XLE,SQ
09:31:43,218.43800354003906,49.435001373291016,26.816699981689453,39.0099983215332,166.72000122070312,26.520000457763672,72.09500122070312,76.79000091552734
09:32:13,218.39700317382812,49.47129821777344,26.760000228881836,39.0,166.99000549316406,26.475000381469727,72.06999969482422,76.9209976196289
09:32:43,218.66000366210938,49.41680145263672,26.844999313354492,39.0,167.0,26.440000534057617,72.05999755859375,76.67859649658203
09:33:13,218.86000061035156,49.42509841918945,26.760000228881836,39.0526008605957,166.8000030517578,26.450000762939453,72.13999938964844,76.6636962890625
09:33:43,219.32000732421875,49.59709930419922,26.780000686645508,39.06999969482422,166.4199981689453,26.45989990234375,72.20999908447266,77.12000274658203
09:34:13,219.32249450683594,49.53990173339844,26.75,39.060001373291016,166.8699951171875,26.43000030517578,72.19000244140625,77.23989868164062
09:34:43,219.0299072265625,49.15999984741211,26.6299991607666,39.060001373291016,166.9149932861328,26.454999923706055,72.13999938964844,77.05999755859375
09:35:13,218.80999755859375,49.05440139770508,26.610000610351562,39.119998931884766,166.9199981689453,26.479999542236328,72.20999908447266,77.29989624023438
09:35:43,218.8000030517578,48.869998931884766,26.68000030517578,39.20500183105469,166.97500610351562,26.489999771118164,72.26000213623047,77.41000366210938
09:36:13,218.9199981689453,48.747398376464844,26.639999389648438,39.19499969482422,166.8300018310547,26.489999771118164,72.19999694824219,77.29000091552734
09:36:43,219.07000732421875,48.83000183105469,26.760000228881836,39.18000030517578,166.82000732421875,26.489999771118164,72.22000122070312,77.72000122070312
09:37:13,219.1898956298828,48.77000045776367,26.770000457763672,39.22999954223633,167.2100067138672,26.510000228881836,72.30000305175781,77.83670043945312
09:37:43,219.02999877929688,48.809898376464844,26.760000228881836,39.220001220703125,167.36000061035156,26.510000228881836,72.2300033569336,77.88999938964844
09:38:13,219.1699981689453,48.75,26.852800369262695,39.209999084472656,167.36000061035156,26.530000686645508,72.0999984741211,78.03040313720703
09:38:43,219.0449981689453,48.849998474121094,26.829999923706055,39.220001220703125,167.11000061035156,26.524999618530273,72.1500015258789,78.0199966430664
09:39:13,219.1638946533203,48.869998931884766,26.84000015258789,39.220001220703125,167.25,26.559999465942383,72.18000030517578,78.55999755859375
09:39:43,219.1999969482422,48.97999954223633,26.884599685668945,39.25,167.25,26.575000762939453,72.18000030517578,78.3010025024414
09:40:13,219.30999755859375,48.845001220703125,26.926000595092773,39.27000045776367,167.2989044189453,26.579999923706055,72.19999694824219,77.93620300292969
09:40:43,219.36000061035156,48.80500030517578,26.83009910583496,39.27000045776367,167.08999633789062,26.565000534057617,72.12999725341797,78.06999969482422
09:41:13,219.43519592285156,48.6068000793457,26.889999389648438,39.29999923706055,167.1199951171875,26.610000610351562,72.25,78.36009979248047
09:41:43,219.02999877929688,49.369998931884766,26.899999618530273,39.31999969482422,167.0496063232422,26.635000228881836,72.19999694824219,78.58000183105469
09:42:13,219.3000030517578,49.63999938964844,26.91990089416504,39.29999923706055,167.0,26.6299991607666,72.19000244140625,78.30999755859375
09:42:43,219.24000549316406,50.060001373291016,26.8700008392334,39.279998779296875,166.97999572753906,26.649999618530273,72.2249984741211,78.38619995117188
09:43:13,219.3800048828125,50.111900329589844,26.889999389648438,39.29999923706055,167.0,26.655000686645508,72.31500244140625,78.45999908447266
09:43:43,219.30250549316406,50.37730026245117,26.950000762939453,39.33000183105469,166.94000244140625,26.65999984741211,72.31999969482422,78.62000274658203
09:44:13,219.3699951171875,50.69969940185547,26.885000228881836,39.29999923706055,166.8699951171875,26.65999984741211,72.29000091552734,78.53459930419922
09:44:43,219.24000549316406,50.7400016784668,26.8700008392334,39.290000915527344,166.89999389648438,26.665000915527344,72.30000305175781,78.60990142822266
09:45:33,219.46009826660156,50.86640167236328,26.93000030517578,39.33000183105469,167.10000610351562,26.670000076293945,72.37999725341797,78.34590148925781
09:46:03,219.2899932861328,50.88990020751953,26.90999984741211,39.29840087890625,167.10000610351562,26.690000534057617,72.43000030517578,78.30139923095703
09:46:33,219.2100067138672,50.689998626708984,26.850000381469727,39.29999923706055,166.9499969482422,26.700000762939453,72.44499969482422,78.18000030517578
09:47:03,219.0,50.619998931884766,26.809999465942383,39.314998626708984,166.92999267578125,26.700000762939453,72.37000274658203,78.02999877929688
09:47:33,219.05999755859375,50.63999938964844,26.815000534057617,39.310001373291016,167.0399932861328,26.690000534057617,72.33000183105469,78.0
09:48:12,218.83999633789062,50.81999969482422,26.774999618530273,39.25,166.89999389648438,26.68000030517578,72.31999969482422,77.94000244140625
09:48:42,218.97999572753906,50.650699615478516,26.760000228881836,39.290000915527344,166.85000610351562,26.690000534057617,72.37999725341797,77.87000274658203
09:49:17,219.1497039794922,50.37009811401367,26.770000457763672,39.2599983215332,166.92999267578125,26.690000534057617,72.38800048828125,78.04769897460938
09:49:57,219.0399932861328,50.435001373291016,26.719999313354492,39.22999954223633,166.85000610351562,26.69499969482422,72.4000015258789,78.04000091552734
09:50:27,219.1999969482422,50.52000045776367,26.774999618530273,39.29999923706055,166.8800048828125,26.71500015258789,72.44999694824219,78.0
09:51:08,219.50999450683594,50.77000045776367,26.860000610351562,39.35499954223633,166.9600067138672,26.709999084472656,72.42500305175781,78.22000122070312
09:51:44,219.52000427246094,50.619998931884766,26.770000457763672,39.310001373291016,166.99000549316406,26.709999084472656,72.41000366210938,78.12000274658203
09:52:22,219.38999938964844,50.75,26.755699157714844,39.310001373291016,166.99000549316406,26.719999313354492,72.41999816894531,77.94730377197266
